receipt,date,time,details,direction,amount,balance,category,is_gambling,is_loan_app
UR00004SGQ,2026-03-04,17:44:22,"Customer Transfer to - 2547******640 BRIAN KIPROTICH",out,546,5627.55,send_money,false,false
US00004YKP,2026-03-04,18:25:15,"Merchant Payment to 560755 - MAMA NGINA GREENGROCERS",out,2075,3552.55,till,false,false
UT000054OO,2026-03-05,08:05:03,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,624,4176.55,business_in,false,false
UU00005ASN,2026-03-05,13:43:57,"Pay Bill to 888880 - KPLC PREPAID Acc. 37194***",out,1027,3149.55,paybill,false,false
UV00005GWM,2026-03-05,14:17:54,"Funds received from - 2547******902 GRACE WANJIRU",in,1039,4188.55,income_received,false,false
UW00005N0L,2026-03-05,15:18:32,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,663,4851.55,business_in,false,false
UX00005T4K,2026-03-05,16:10:30,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,745,5596.55,business_in,false,false
UY00005Z8J,2026-03-05,20:17:09,"Pay Bill to 290290 - BETIKA Acc. 07******",out,280,5316.55,gambling,true,false
UZ000065CI,2026-03-06,14:30:03,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,659,5975.55,business_in,false,false
UA00006BGH,2026-03-06,15:03:26,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,397,6372.55,business_in,false,false
UB00006HKG,2026-03-06,16:43:52,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1370,7742.55,business_in,false,false
UC00006NOF,2026-03-06,18:24:59,"Customer Withdrawal At Agent Till 359882 - JUJA AGENCIES",out,2230,5512.55,withdraw,false,false
UD00006TSE,2026-03-07,07:08:58,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,630,6142.55,business_in,false,false
UE00006ZWD,2026-03-07,07:25:25,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,484,6626.55,business_in,false,false
UF0000760C,2026-03-07,13:04:31,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,730,7356.55,business_in,false,false
UG00007C4B,2026-03-07,15:37:53,"Airtime Purchase",out,228,7128.55,airtime,false,false
UH00007I8A,2026-03-09,09:01:48,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,879,8007.55,business_in,false,false
UJ00007OC9,2026-03-09,17:32:31,"Merchant Payment to 549264 - MAMA NGINA GREENGROCERS",out,2151,5856.55,till,false,false
UK00007UG8,2026-03-10,16:35:36,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,582,6438.55,business_in,false,false
UL000080K7,2026-03-10,20:44:19,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,416,6854.55,business_in,false,false
UM000086O6,2026-03-11,10:06:25,"Merchant Payment Online to 812756 - RUBIS ENERGY JUJA",out,763,6091.55,till,false,false
UN00008CS5,2026-03-11,11:03:08,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,671,6762.55,business_in,false,false
UP00008IW4,2026-03-11,12:38:03,"Customer Transfer to - 2547******640 BRIAN KIPROTICH",out,429,6333.55,send_money,false,false
UQ00008P03,2026-03-11,16:08:26,"Pay Bill to 290290 - BETIKA Acc. 07******",out,525,5808.55,gambling,true,false
UR00008V42,2026-03-11,17:49:47,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,428,6236.55,business_in,false,false
US00009181,2026-03-11,18:52:28,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,634,6870.55,business_in,false,false
UT000097C0,2026-03-12,07:31:30,"Merchant Payment to 519748 - NAIVAS SUPERMARKET THIKA RD",out,2158,4712.55,till,false,false
UU00009DFZ,2026-03-12,08:13:30,"Pay Bill to 247247 - JUJA ACADEMY Acc. FEES",out,6679,3033.55,charge,false,false
UV00009JJY,2026-03-12,09:52:34,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,517,3550.55,business_in,false,false
UW00009PNX,2026-03-12,12:36:39,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,366,3916.55,business_in,false,false
UX00009VRW,2026-03-12,17:24:21,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,850,4766.55,business_in,false,false
UY0000A1VV,2026-03-13,16:54:52,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1175,5941.55,business_in,false,false
UZ0000A7ZU,2026-03-14,08:25:02,"Pay Bill to 290290 - BETIKA Acc. 07******",out,239,5702.55,gambling,true,false
UA0000AE3T,2026-03-14,09:34:04,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,846,6548.55,business_in,false,false
UB0000AK7S,2026-03-14,14:56:05,"Merchant Payment to 592915 - QUICKMART KASARANI",out,1696,4852.55,till,false,false
UC0000AQBR,2026-03-15,06:45:39,"Merchant Payment to 550406 - JUJA BUTCHERY",out,2051,2801.55,till,false,false
UD0000AWFQ,2026-03-15,08:26:31,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,350,3151.55,business_in,false,false
UE0000B2JP,2026-03-15,11:43:06,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1425,4576.55,business_in,false,false
UF0000B8NO,2026-03-15,17:26:07,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1468,6044.55,business_in,false,false
UG0000BERN,2026-03-16,15:22:14,"Merchant Payment to 545875 - MAMA NGINA GREENGROCERS",out,532,5512.55,till,false,false
UH0000BKVM,2026-03-16,15:41:23,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1433,6945.55,business_in,false,false
UJ0000BQZL,2026-03-16,18:30:47,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,926,7871.55,business_in,false,false
UK0000BX3K,2026-03-17,11:32:56,"Customer Transfer to - 2547******377 MERCY ACHIENG",out,539,7332.55,send_money,false,false
UL0000C37J,2026-03-17,15:55:18,"Airtime Purchase",out,92,7240.55,airtime,false,false
UM0000C9BI,2026-03-17,17:28:09,"Merchant Payment to 577109 - NAIVAS SUPERMARKET THIKA RD",out,997,6243.55,till,false,false
UN0000CFFH,2026-03-18,12:11:44,"Merchant Payment to 527903 - MAMA NGINA GREENGROCERS",out,2073,4170.55,till,false,false
UP0000CLJG,2026-03-18,18:43:13,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,615,4785.55,business_in,false,false
UQ0000CRNF,2026-03-20,11:55:37,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1667,6452.55,business_in,false,false
UR0000CXRE,2026-03-20,13:23:32,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1669,8121.55,business_in,false,false
US0000D3VD,2026-03-20,18:04:19,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,572,8693.55,business_in,false,false
UT0000D9ZC,2026-03-21,06:52:48,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,266,8959.55,business_in,false,false
UU0000DG3B,2026-03-21,08:21:41,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1529,10488.55,business_in,false,false
UV0000DM7A,2026-03-21,12:23:19,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,1229,9259.55,send_money,false,false
UW0000DSB9,2026-03-21,15:29:58,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,813,10072.55,business_in,false,false
UX0000DYF8,2026-03-21,20:05:46,"Airtime Purchase",out,222,9850.55,airtime,false,false
UY0000E4J7,2026-03-21,21:36:42,"Merchant Payment to 527734 - MAMA NGINA GREENGROCERS",out,626,9224.55,till,false,false
UZ0000EAN6,2026-03-22,11:19:41,"Customer Transfer to - 2547******377 MERCY ACHIENG",out,535,8689.55,send_money,false,false
UA0000EGR5,2026-03-22,18:24:55,"Airtime Purchase",out,132,8557.55,airtime,false,false
UB0000EMV4,2026-03-23,06:50:29,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,866,9423.55,business_in,false,false
UC0000ESZ3,2026-03-23,15:24:55,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,973,10396.55,business_in,false,false
UD0000EZ32,2026-03-24,08:09:40,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1015,11411.55,business_in,false,false
UE0000F571,2026-03-24,11:11:32,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,614,12025.55,business_in,false,false
UF0000FBB0,2026-03-24,11:29:20,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,420,12445.55,business_in,false,false
UG0000FHEZ,2026-03-24,11:53:22,"Customer Transfer to - 2547******377 MERCY ACHIENG",out,1293,11152.55,send_money,false,false
UH0000FNIY,2026-03-24,19:47:42,"Pay Bill to 290290 - BETIKA Acc. 07******",out,504,10648.55,gambling,true,false
UJ0000FTMX,2026-03-26,13:52:57,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,488,11136.55,business_in,false,false
UK0000FZQW,2026-03-26,17:17:44,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1191,12327.55,business_in,false,false
UL0000G5UV,2026-03-26,18:23:11,"Merchant Payment to 569198 - JUJA BUTCHERY",out,864,11463.55,till,false,false
UM0000GBYU,2026-03-27,08:45:56,"Customer Withdrawal At Agent Till 323911 - JUJA AGENCIES",out,1294,10169.55,withdraw,false,false
UN0000GI2T,2026-03-27,12:52:52,"Merchant Payment to 523465 - MAMA NGINA GREENGROCERS",out,1771,8398.55,till,false,false
UP0000GO6S,2026-03-28,08:52:41,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,661,9059.55,business_in,false,false
UQ0000GUAR,2026-03-28,08:54:52,"OverDraft of Credit Party",in,764,9823.55,loan_in,false,true
UR0000H0EQ,2026-03-28,10:58:57,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,491,10314.55,business_in,false,false
US0000H6IP,2026-03-28,13:09:29,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1614,11928.55,business_in,false,false
UT0000HCMO,2026-03-29,09:35:50,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,237,11691.55,send_money,false,false
UU0000HIQN,2026-03-29,12:34:12,"OD Loan Repayment to 232323 - M-PESA Overdraw",out,772,10919.55,loan_repay,false,true
UV0000HOUM,2026-03-29,13:26:20,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1306,12225.55,business_in,false,false
UW0000HUYL,2026-03-29,16:13:21,"Merchant Payment to 519885 - NAIVAS SUPERMARKET THIKA RD",out,839,11386.55,till,false,false
UX0000I12K,2026-03-29,16:23:16,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1387,12773.55,business_in,false,false
UY0000I76J,2026-03-29,18:57:58,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,635,13408.55,business_in,false,false
UZ0000IDAI,2026-03-30,10:31:26,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1085,14493.55,business_in,false,false
UA0000IJEH,2026-03-30,15:38:46,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1392,15885.55,business_in,false,false
UB0000IPIG,2026-03-30,15:55:38,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,368,16253.55,business_in,false,false
UC0000IVMF,2026-03-30,17:29:43,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,468,16721.55,business_in,false,false
UD0000J1QE,2026-03-31,10:29:05,"Merchant Payment Online to 854881 - RUBIS ENERGY JUJA",out,821,15900.55,till,false,false
UE0000J7UD,2026-03-31,14:01:45,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,864,16764.55,business_in,false,false
UF0000JDYC,2026-03-31,17:06:26,"Merchant Payment to 567878 - QUICKMART KASARANI",out,1522,15242.55,till,false,false
UG0000JK2B,2026-03-31,17:24:40,"Pay Bill to 290290 - BETIKA Acc. 07******",out,497,14745.55,gambling,true,false
UH0000JQ6A,2026-03-31,21:50:11,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,649,15394.55,business_in,false,false
UJ0000JWA9,2026-04-01,08:54:12,"Pay Bill to 290290 - BETIKA Acc. 07******",out,528,14866.55,gambling,true,false
UK0000K2E8,2026-04-01,09:44:29,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1318,16184.55,business_in,false,false
UL0000K8I7,2026-04-01,12:38:38,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,805,16989.55,business_in,false,false
UM0000KEM6,2026-04-01,19:35:11,"Customer Transfer to - 2547******155 JOHN KAMAU",out,272,16717.55,send_money,false,false
UN0000KKQ5,2026-04-02,07:29:18,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,740,17457.55,business_in,false,false
UP0000KQU4,2026-04-02,08:17:25,"Merchant Payment to 535961 - MAMA NGINA GREENGROCERS",out,1195,16262.55,till,false,false
UQ0000KWY3,2026-04-02,09:24:43,"Airtime Purchase",out,250,16012.55,airtime,false,false
UR0000L322,2026-04-02,14:17:40,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1173,17185.55,business_in,false,false
US0000L961,2026-04-02,19:19:16,"Merchant Payment Online to 856659 - RUBIS ENERGY JUJA",out,883,16302.55,till,false,false
UT0000LFA0,2026-04-03,08:00:56,"Merchant Payment to 557952 - JUJA BUTCHERY",out,1797,14505.55,till,false,false
UU0000LLDZ,2026-04-03,10:52:28,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,884,15389.55,business_in,false,false
UV0000LRHY,2026-04-03,14:27:41,"Pay Bill to 290290 - BETIKA Acc. 07******",out,248,15141.55,gambling,true,false
UW0000LXLX,2026-04-03,16:01:27,"Pay Bill to 522533 - SUNRISE APARTMENTS Acc. RENT",out,9500,5641.55,paybill,false,false
UX0000M3PW,2026-04-03,16:19:27,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1515,7156.55,business_in,false,false
UY0000M9TV,2026-04-03,16:54:38,"Customer Transfer to - 2547******155 JOHN KAMAU",out,714,6442.55,send_money,false,false
UZ0000MFXU,2026-04-03,20:45:02,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1329,7771.55,business_in,false,false
UA0000MM1T,2026-04-04,08:32:03,"Merchant Payment to 588732 - MAMA NGINA GREENGROCERS",out,1762,6009.55,till,false,false
UB0000MS5S,2026-04-04,13:00:12,"Airtime Purchase",out,179,5830.55,airtime,false,false
UC0000MY9R,2026-04-04,16:05:40,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1552,7382.55,business_in,false,false
UD0000N4DQ,2026-04-04,16:22:52,"Pay Bill to 290290 - BETIKA Acc. 07******",out,192,7190.55,gambling,true,false
UE0000NAHP,2026-04-04,16:57:00,"Customer Transfer to - 2547******155 JOHN KAMAU",out,742,6448.55,send_money,false,false
UF0000NGLO,2026-04-04,18:32:33,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1411,7859.55,business_in,false,false
UG0000NMPN,2026-04-05,15:18:05,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1413,9272.55,business_in,false,false
UH0000NSTM,2026-04-05,19:08:15,"Pay Bill to 888880 - KPLC PREPAID Acc. 37194***",out,1165,8107.55,paybill,false,false
UJ0000NYXL,2026-04-05,20:19:41,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1148,9255.55,business_in,false,false
UK0000O51K,2026-04-06,09:18:06,"Pay Bill to 290290 - BETIKA Acc. 07******",out,439,8816.55,gambling,true,false
UL0000OB5J,2026-04-06,11:51:05,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1203,10019.55,business_in,false,false
UM0000OH9I,2026-04-06,14:50:22,"Merchant Payment to 599672 - JUJA BUTCHERY",out,925,9094.55,till,false,false
UN0000ONDH,2026-04-06,17:32:27,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1422,10516.55,business_in,false,false
UP0000OTHG,2026-04-06,19:49:55,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,894,11410.55,business_in,false,false
UQ0000OZLF,2026-04-07,10:18:23,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,444,11854.55,business_in,false,false
UR0000P5PE,2026-04-07,15:32:40,"Merchant Payment to 567116 - NAIVAS SUPERMARKET THIKA RD",out,1535,10319.55,till,false,false
US0000PBTD,2026-04-08,09:25:44,"Merchant Payment to 599223 - JUJA BUTCHERY",out,869,9450.55,till,false,false
UT0000PHXC,2026-04-08,10:21:40,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1699,11149.55,business_in,false,false
UU0000PO1B,2026-04-08,13:08:20,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1428,12577.55,business_in,false,false
UV0000PU5A,2026-04-08,14:57:22,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1463,14040.55,business_in,false,false
UW0000Q099,2026-04-08,21:45:52,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,381,14421.55,business_in,false,false
UX0000Q6D8,2026-04-09,09:17:32,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1362,15783.55,business_in,false,false
UY0000QCH7,2026-04-09,12:40:34,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1227,17010.55,business_in,false,false
UZ0000QIL6,2026-04-09,13:22:28,"Customer Withdrawal At Agent Till 373446 - JUJA AGENCIES",out,636,16374.55,withdraw,false,false
UA0000QOP5,2026-04-10,12:23:11,"Merchant Payment to 545369 - QUICKMART KASARANI",out,1044,15330.55,till,false,false
UB0000QUT4,2026-04-10,14:57:54,"Pay Bill to 290290 - BETIKA Acc. 07******",out,106,15224.55,gambling,true,false
UC0000R0X3,2026-04-11,09:16:18,"Pay Bill to 290290 - BETIKA Acc. 07******",out,398,14826.55,gambling,true,false
UD0000R712,2026-04-11,10:19:20,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,831,13995.55,send_money,false,false
UE0000RD51,2026-04-11,11:27:14,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1010,15005.55,business_in,false,false
UF0000RJ90,2026-04-11,15:47:46,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1466,16471.55,business_in,false,false
UG0000RPCZ,2026-04-12,06:26:50,"Merchant Payment to 513071 - JUJA BUTCHERY",out,701,15770.55,till,false,false
UH0000RVGY,2026-04-12,08:18:59,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,682,16452.55,business_in,false,false
UJ0000S1KX,2026-04-12,11:53:51,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,653,17105.55,business_in,false,false
UK0000S7OW,2026-04-13,07:03:14,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,986,18091.55,business_in,false,false
UL0000SDSV,2026-04-13,07:50:15,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,640,18731.55,business_in,false,false
UM0000SJWU,2026-04-13,20:37:55,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,643,19374.55,business_in,false,false
UN0000SQ0T,2026-04-14,17:33:08,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1307,20681.55,business_in,false,false
UP0000SW4S,2026-04-15,08:47:21,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,406,21087.55,business_in,false,false
UQ0000T28R,2026-04-15,12:14:56,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,277,21364.55,business_in,false,false
UR0000T8CQ,2026-04-15,16:01:13,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,792,22156.55,business_in,false,false
US0000TEGP,2026-04-15,18:04:04,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,507,22663.55,business_in,false,false
UT0000TKKO,2026-04-15,20:25:22,"Merchant Payment to 510620 - NAIVAS SUPERMARKET THIKA RD",out,2184,20479.55,till,false,false
UU0000TQON,2026-04-16,21:20:15,"Pay Bill to 290290 - BETIKA Acc. 07******",out,486,19993.55,gambling,true,false
UV0000TWSM,2026-04-17,08:49:51,"Merchant Payment to 528542 - NAIVAS SUPERMARKET THIKA RD",out,1474,18519.55,till,false,false
UW0000U2WL,2026-04-17,17:10:01,"Pay Bill to 290290 - BETIKA Acc. 07******",out,520,17999.55,gambling,true,false
UX0000U90K,2026-04-17,20:23:19,"Airtime Purchase",out,134,17865.55,airtime,false,false
UY0000UF4J,2026-04-18,12:32:58,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,699,18564.55,business_in,false,false
UZ0000UL8I,2026-04-18,14:53:52,"Customer Transfer to - 2547******377 MERCY ACHIENG",out,1193,17371.55,send_money,false,false
UA0000URCH,2026-04-18,20:31:36,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1229,18600.55,business_in,false,false
UB0000UXGG,2026-04-18,21:14:58,"Merchant Payment to 579111 - NAIVAS SUPERMARKET THIKA RD",out,772,17828.55,till,false,false
UC0000V3KF,2026-04-19,07:23:21,"Pay Bill to 290290 - BETIKA Acc. 07******",out,386,17442.55,gambling,true,false
UD0000V9OE,2026-04-19,10:26:30,"OverDraft of Credit Party",in,763,18205.55,loan_in,false,true
UE0000VFSD,2026-04-19,12:44:52,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,752,18957.55,business_in,false,false
UF0000VLWC,2026-04-19,14:54:31,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,408,19365.55,business_in,false,false
UG0000VS0B,2026-04-19,16:19:01,"Customer Withdrawal At Agent Till 345398 - JUJA AGENCIES",out,2361,17004.55,withdraw,false,false
UH0000VY4A,2026-04-19,17:33:13,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1690,18694.55,business_in,false,false
UJ0000W489,2026-04-19,17:54:44,"Airtime Purchase",out,93,18601.55,airtime,false,false
UK0000WAC8,2026-04-19,19:15:10,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,889,19490.55,business_in,false,false
UL0000WGG7,2026-04-20,11:32:55,"OD Loan Repayment to 232323 - M-PESA Overdraw",out,771,18719.55,loan_repay,false,true
UM0000WMK6,2026-04-20,12:13:04,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1559,20278.55,business_in,false,false
UN0000WSO5,2026-04-20,14:02:44,"Merchant Payment to 569399 - NAIVAS SUPERMARKET THIKA RD",out,1514,18764.55,till,false,false
UP0000WYS4,2026-04-20,17:37:00,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1310,20074.55,business_in,false,false
UQ0000X4W3,2026-04-20,20:02:09,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,468,20542.55,business_in,false,false
UR0000XB02,2026-04-22,10:43:11,"Merchant Payment to 595720 - NAIVAS SUPERMARKET THIKA RD",out,627,19915.55,till,false,false
US0000XH41,2026-04-22,11:47:23,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1065,20980.55,business_in,false,false
UT0000XN80,2026-04-22,15:36:55,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,582,21562.55,business_in,false,false
UU0000XTBZ,2026-04-22,15:55:20,"Airtime Purchase",out,173,21389.55,airtime,false,false
UV0000XZFY,2026-04-23,16:48:44,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1199,22588.55,business_in,false,false
UW0000Y5JX,2026-04-23,17:28:40,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1055,23643.55,business_in,false,false
UX0000YBNW,2026-04-23,20:09:06,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1053,24696.55,business_in,false,false
UY0000YHRV,2026-04-24,07:41:41,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,600,25296.55,business_in,false,false
UZ0000YNVU,2026-04-24,09:22:56,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1212,26508.55,business_in,false,false
UA0000YTZT,2026-04-24,10:19:25,"Merchant Payment to 598951 - NAIVAS SUPERMARKET THIKA RD",out,1843,24665.55,till,false,false
UB0000Z03S,2026-04-24,20:13:56,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,706,25371.55,business_in,false,false
UC0000Z67R,2026-04-25,08:14:37,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1521,26892.55,business_in,false,false
UD0000ZCBQ,2026-04-25,10:03:15,"Merchant Payment Online to 891443 - RUBIS ENERGY JUJA",out,827,26065.55,till,false,false
UE0000ZIFP,2026-04-25,11:25:00,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1374,27439.55,business_in,false,false
UF0000ZOJO,2026-04-25,21:43:48,"Merchant Payment to 561257 - QUICKMART KASARANI",out,1124,26315.55,till,false,false
UG0000ZUNN,2026-04-25,21:52:39,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1321,27636.55,business_in,false,false
UH000100RM,2026-04-26,07:39:48,"Airtime Purchase",out,220,27416.55,airtime,false,false
UJ000106VL,2026-04-26,13:47:59,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1693,29109.55,business_in,false,false
UK00010CZK,2026-04-26,15:49:36,"Merchant Payment to 537225 - JUJA BUTCHERY",out,2094,27015.55,till,false,false
UL00010J3J,2026-04-26,17:09:10,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1428,28443.55,business_in,false,false
UM00010P7I,2026-04-27,06:28:35,"Merchant Payment to 526441 - QUICKMART KASARANI",out,1177,27266.55,till,false,false
UN00010VBH,2026-04-27,08:39:43,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,462,27728.55,business_in,false,false
UP000111FG,2026-04-27,10:10:47,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,662,28390.55,business_in,false,false
UQ000117JF,2026-04-27,17:37:55,"Merchant Payment Online to 850115 - RUBIS ENERGY JUJA",out,1322,27068.55,till,false,false
UR00011DNE,2026-04-28,09:54:17,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1432,28500.55,business_in,false,false
US00011JRD,2026-04-28,12:34:04,"Merchant Payment to 544643 - NAIVAS SUPERMARKET THIKA RD",out,1294,27206.55,till,false,false
