account_number,product_type_id,product_type,status,date_opened,original_amount,current_balance,overdue_balance,days_in_arrears,days_in_arrears_as_of,highest_days_in_arrears,last_payment_amount,last_payment_date,delinquency_code,is_live,is_adverse
4319463776485018,18,Mobile Banking Loan,Active,2024-02-07,6000,7078.26,6626.52,32,2024-04-09,32,0,,003,true,false
25479900012320240315,7,Overdraft,Closed,2024-03-15,5130.93,0,0,0,2024-05-02,0,5130.93,2024-03-15,003,false,false
25479900012320240429,7,Overdraft,Closed,2024-04-29,5231.1,0,0,0,2024-05-15,0,5231.1,2024-05-15,003,false,false
25479900012320240514,7,Overdraft,Closed,2024-05-14,4774.57,0,0,0,2024-06-18,0,4774.57,2024-06-18,003,false,false
25479900012320240613,7,Overdraft,Closed,2024-06-13,3313.78,0,0,0,2024-07-15,0,3313.78,2024-07-15,003,false,false
25479900012320240730,7,Overdraft,Closed,2024-07-30,3471.49,0,0,0,2024-08-15,0,3471.49,2024-08-15,003,false,false
25479900012320240831,7,Overdraft,Closed,2024-08-31,2279.79,0,0,0,2024-09-13,0,2279.79,2024-09-13,003,false,false
25479900012320241109,7,Overdraft,Closed,2024-11-09,4615.47,0,0,0,2024-11-16,0,4615.47,2024-11-16,003,false,false
25479900012320241116,7,Overdraft,Closed,2024-11-16,6325.33,0,0,0,2024-11-18,0,6325.33,2024-11-18,003,false,false
25479900012320241119,7,Overdraft,Closed,2024-11-19,3014.18,0,0,0,2024-11-23,0,3014.18,2024-11-23,003,false,false
25479900012320241123,7,Overdraft,Closed,2024-11-23,3240.88,0,0,0,2024-11-30,0,3240.88,2024-11-30,003,false,false
25479900012320241130,7,Overdraft,Closed,2024-11-30,3106.15,0,0,0,2024-12-01,0,3106.15,2024-12-01,003,false,false
25479900012320241214,7,Overdraft,Closed,2024-12-14,2780.27,0,0,0,2024-12-18,0,2780.27,2024-12-18,003,false,false
25479900012320250308,7,Overdraft,Closed,2025-03-08,1025.63,0,0,0,2025-03-13,0,1025.63,2025-03-13,003,false,false
25479900012320250329,7,Overdraft,Closed,2025-03-29,650.87,0,0,0,2025-04-03,0,650.87,2025-04-02,003,false,false
25479900012320250419,7,Overdraft,Closed,2025-04-19,1176.65,0,0,0,2025-04-28,0,1176.65,2025-04-26,003,false,false
25479900012320250426,7,Overdraft,Closed,2025-04-26,2481.36,0,0,0,2025-09-22,0,2481.36,2025-05-26,003,false,false
25479900012320250531,7,Overdraft,Closed,2025-05-31,4257.85,0,0,0,2025-09-22,0,4257.85,2025-06-30,003,false,false
25479900012320250816,7,Overdraft,Closed,2025-08-16,2144.55,0,0,0,2025-08-21,0,2144.55,2025-08-20,003,false,false
25479900012320250820,7,Overdraft,Closed,2025-08-20,470.03,0,0,0,2025-08-23,0,470.03,2025-08-23,003,false,false
25479900012320250823,7,Overdraft,Closed,2025-08-23,4026.25,0,0,0,2025-08-26,0,4026.25,2025-08-26,003,false,false
25479900012320260210,7,Overdraft,Closed,2026-02-10,525.19,0,0,0,2026-02-11,0,525.19,2026-02-11,003,false,false
25479900012320260301,7,Overdraft,Closed,2026-03-01,3079.91,0,0,0,2026-03-03,0,3079.91,2026-03-03,003,false,false
TE281832199,14,Personal Loan,Active,2026-01-31,14000,14325,0,0,2026-09-11,0,88,2026-08-31,003,true,false
25479900012320260330,7,Overdraft,Closed,2026-03-30,2990.24,0,0,0,2026-04-06,0,2990.24,2026-04-06,003,false,false
25479900012320260406,7,Overdraft,Closed,2026-04-06,744.34,0,0,0,2026-04-07,0,744.34,2026-04-07,003,false,false
25479900012320260407,7,Overdraft,Closed,2026-04-07,6240.28,0,0,0,2026-04-08,0,6240.28,2026-04-08,003,false,false
221927,10,Business Expansion Loan,Active,2026-06-15,17040,8520,0,0,2026-07-09,0,0,,003,true,false
25479900012320260731,7,Overdraft,Closed,2026-07-31,1759.88,0,0,0,2026-08-06,0,1759.88,2026-08-05,003,false,false
6883716697398,14,Personal Loan,Active,2026-03-25,20000,0,0,0,2026-08-07,0,1034,2026-07-28,003,false,false
3237527208640,14,Personal Loan,Active,2026-06-03,100000,0,0,0,2026-08-07,0,5042,2026-07-28,003,false,false
25479900012320260831,7,Overdraft,Closed,2026-08-31,708,0,0,0,2026-09-03,0,708,2026-09-02,003,false,false
